datetime,kwh,athome
2018-01-02 17:49:58.029227+00:00,1.89,2
2018-01-02 17:50:58.088421+00:00,2.34,2
2018-01-02 17:51:58.164020+00:00,0.84,2
2018-01-02 17:52:58.531791+00:00,1.02,2
2018-01-02 17:53:58.271208+00:00,2.43,2
2018-01-02 17:54:58.359479+00:00,2.49,2
2018-01-02 17:55:58.394751+00:00,2.19,2
2018-01-02 17:56:58.450644+00:00,2.58,2
2018-01-02 17:57:58.518362+00:00,1.95,2
2018-01-02 17:58:58.601750+00:00,1.65,2
2018-01-02 17:59:37.173480+00:00,0.18,2
2018-01-02 18:00:37.235462+00:00,2.97,2
2018-01-02 18:01:37.293539+00:00,1.26,2
2018-01-02 18:02:37.353802+00:00,1.44,1
2018-01-02 18:03:37.447549+00:00,2.28,1
2018-01-02 18:04:37.471966+00:00,0.96,1
2018-01-02 18:05:37.635340+00:00,1.89,1
2018-01-02 18:06:37.637182+00:00,0.45,1
2018-01-02 18:07:37.655257+00:00,1.14,1
2018-01-02 18:08:37.752075+00:00,1.17,1
2018-01-02 18:09:37.843904+00:00,1.08,1
2018-01-02 18:10:37.840140+00:00,1.32,1
2018-01-02 18:11:37.903613+00:00,1.53,1
2018-01-02 18:12:37.957821+00:00,2.43,1
2018-01-02 18:13:38.039424+00:00,0.75,1
2018-01-02 18:14:38.089479+00:00,0.48,1
2018-01-02 18:15:38.163489+00:00,0.45,2
2018-01-02 18:16:38.587841+00:00,0.48,2
2018-01-02 18:21:38.900495+00:00,0.54,2
2018-01-02 18:22:39.052539+00:00,0.48,2
2018-01-02 18:23:39.012506+00:00,1.95,2
2018-01-02 18:24:39.073679+00:00,2.91,2
2018-01-02 18:25:39.147980+00:00,2.73,2
2018-01-02 18:27:39.254981+00:00,2.79,2
2018-01-02 18:28:39.435885+00:00,2.76,2
2018-01-02 18:29:39.375256+00:00,2.85,2
2018-01-02 18:30:39.435214+00:00,2.88,2
2018-01-02 18:31:39.501521+00:00,2.67,2
2018-01-02 18:32:39.557596+00:00,2.76,2
2018-01-02 18:33:48.082388+00:00,0.12,2
2018-01-02 18:34:48.145230+00:00,1.53,2
2018-01-02 18:35:48.212988+00:00,0.6,2
2018-01-02 18:36:48.270668+00:00,2.73,2
2018-01-02 18:37:27.265011+00:00,0.12,2
2018-01-02 18:38:27.328668+00:00,1.89,2
2018-01-02 18:39:27.388488+00:00,0.57,2
2018-01-02 18:41:27.505711+00:00,0.6,2
2018-01-02 18:42:27.610830+00:00,2.19,2
2018-01-02 18:43:27.629903+00:00,2.61,2
2018-01-02 18:44:27.686846+00:00,0.66,2
2018-01-02 18:45:27.818383+00:00,0.6,2
2018-01-02 18:46:27.858004+00:00,0.54,2
2018-01-02 18:47:27.872002+00:00,0.6,2
2018-01-02 18:49:09.409987+00:00,0.0,2
2018-01-02 18:50:09.761184+00:00,0.63,2
2018-01-02 18:51:09.534366+00:00,0.54,2
2018-01-02 18:52:09.642316+00:00,0.6,2
2018-01-02 18:53:10.122547+00:00,0.54,2
2018-01-02 18:54:09.712308+00:00,0.57,2
2018-01-02 18:55:09.772981+00:00,0.45,2
2018-01-02 18:56:09.832650+00:00,0.42,2
2018-01-02 18:57:09.893394+00:00,0.45,2
2018-01-02 18:58:10.016160+00:00,0.48,2
2018-01-02 18:59:10.020157+00:00,0.54,2
2018-01-02 19:00:10.075557+00:00,0.48,2
2018-01-02 19:04:10.339915+00:00,0.54,2
2018-01-02 19:05:10.379847+00:00,0.51,2
2018-01-02 19:06:10.439371+00:00,0.48,2
2018-01-02 19:09:10.614741+00:00,0.54,2
2018-01-02 19:10:10.680169+00:00,0.51,2
2018-01-02 19:11:10.741463+00:00,0.48,2
2018-01-02 19:13:10.864313+00:00,0.66,2
2018-01-02 19:14:10.982529+00:00,0.9,2
2018-01-02 19:15:10.983576+00:00,0.48,2
2018-01-02 19:16:11.041222+00:00,0.42,2
2018-01-02 19:17:11.102894+00:00,0.48,2
2018-01-02 19:19:11.224186+00:00,0.51,2
2018-01-02 19:22:11.406249+00:00,0.48,2
2018-01-02 19:25:11.586171+00:00,0.45,2
2018-01-02 19:26:11.651108+00:00,0.36,2
2018-01-02 19:30:11.894253+00:00,0.42,2
2018-01-02 19:31:11.955613+00:00,0.39,2
2018-01-02 19:32:12.050862+00:00,0.36,2
2018-01-02 19:35:12.567350+00:00,0.42,2
2018-01-02 19:36:12.259154+00:00,0.36,2
2018-01-02 19:44:12.738854+00:00,0.42,2
2018-01-02 19:45:12.803547+00:00,0.36,2
2018-01-02 19:49:13.046386+00:00,0.39,2
2018-01-02 19:50:13.123640+00:00,0.36,2
2018-01-02 19:53:13.290169+00:00,2.79,2
2018-01-02 19:54:13.348893+00:00,3.03,2
2018-01-02 19:55:13.406142+00:00,2.76,2
2018-01-02 19:56:13.469018+00:00,0.45,2
2018-01-02 19:57:13.530317+00:00,0.36,2
2018-01-02 19:58:13.589797+00:00,0.42,2
2018-01-02 20:00:13.726686+00:00,0.36,2
2018-01-02 20:01:13.774884+00:00,0.42,2
2018-01-02 20:02:13.830049+00:00,0.36,2
2018-01-02 20:03:13.890453+00:00,0.42,2
2018-01-02 20:04:13.971376+00:00,0.36,2
2018-01-02 20:05:14.012404+00:00,0.45,2
2018-01-02 20:06:14.092797+00:00,0.36,2
2018-01-02 20:07:14.129772+00:00,0.42,2
2018-01-02 20:08:14.197085+00:00,0.36,2
2018-01-02 20:09:14.253734+00:00,0.42,2
2018-01-02 20:10:14.312167+00:00,0.36,2
2018-01-02 20:11:14.371147+00:00,0.45,2
2018-01-02 20:12:14.434423+00:00,0.39,2
2018-01-02 20:13:14.497715+00:00,0.42,2
2018-01-02 20:14:14.556902+00:00,0.36,2
2018-01-02 20:15:14.619364+00:00,0.42,2
2018-01-02 20:16:14.677515+00:00,0.36,2
2018-01-02 20:17:14.739666+00:00,0.39,2
2018-01-02 20:18:14.795631+00:00,0.42,2
2018-01-02 20:19:15.085158+00:00,0.36,2
2018-01-02 20:19:55.390782+00:00,0.06,2
2018-01-02 20:20:55.451608+00:00,0.36,2
2018-01-02 20:22:55.573431+00:00,0.42,2
2018-01-02 20:23:55.634603+00:00,0.36,2
2018-01-02 20:25:34.320461+00:00,0.0,2
2018-01-02 20:26:34.379140+00:00,0.42,2
2018-01-02 20:27:34.440726+00:00,0.36,2
2018-01-02 20:28:34.499925+00:00,0.42,2
2018-01-02 20:29:34.561109+00:00,0.36,2
2018-01-02 20:30:34.624315+00:00,0.39,2
2018-01-02 20:31:34.688915+00:00,0.45,2
2018-01-02 20:32:34.741867+00:00,0.36,2
2018-01-02 20:33:34.801152+00:00,0.42,2
2018-01-02 20:34:34.863603+00:00,0.36,2
2018-01-02 20:36:34.984179+00:00,0.42,2
2018-01-02 20:37:35.045511+00:00,0.36,2
2018-01-02 20:39:35.267106+00:00,0.42,2
2018-01-02 20:40:35.736255+00:00,0.36,2
2018-01-02 20:43:35.940876+00:00,0.42,2
2018-01-02 20:44:36.275297+00:00,0.39,2
2018-01-02 20:46:36.099955+00:00,0.42,2
2018-01-02 20:47:36.155230+00:00,0.36,2
2018-01-02 20:48:36.218769+00:00,0.42,2
2018-01-02 20:49:36.275008+00:00,0.36,2
2018-01-02 20:50:36.339314+00:00,0.42,2
2018-01-02 20:51:36.402909+00:00,0.45,2
2018-01-02 20:52:36.460636+00:00,0.36,2
2018-01-02 20:53:36.518220+00:00,0.45,2
2018-01-02 20:54:36.586159+00:00,0.36,2
2018-01-02 20:55:36.645665+00:00,0.45,2
2018-01-02 20:56:36.701198+00:00,0.36,2
2018-01-02 20:57:36.795802+00:00,0.42,2
2018-01-02 20:58:36.822142+00:00,0.36,2
2018-01-02 21:00:37.027647+00:00,0.45,2
2018-01-02 21:01:37.003968+00:00,0.51,2
2018-01-02 21:02:37.064769+00:00,0.54,2
2018-01-02 21:04:37.185469+00:00,0.48,2
2018-01-02 21:05:37.245926+00:00,0.51,2
2018-01-02 21:06:37.307942+00:00,0.54,2
2018-01-02 21:08:37.424535+00:00,0.48,2
2018-01-02 21:09:37.486185+00:00,0.51,2
2018-01-02 21:11:37.605480+00:00,0.48,2
2018-01-02 21:13:37.725187+00:00,0.54,2
2018-01-02 21:14:37.794850+00:00,0.48,2
2018-01-02 21:15:37.850053+00:00,0.51,2
2018-01-02 21:16:37.906086+00:00,0.57,2
2018-01-02 21:17:37.971482+00:00,0.48,2
2018-01-02 21:19:38.089405+00:00,0.54,2
2018-01-02 21:20:38.149794+00:00,0.51,2
2018-01-02 21:21:38.214119+00:00,0.48,2
2018-01-02 21:23:38.328372+00:00,0.54,0
2018-01-02 21:24:38.392298+00:00,0.48,0
2018-01-02 21:26:38.513694+00:00,0.54,0
2018-01-02 21:27:38.572918+00:00,0.51,0
2018-01-02 21:28:38.634997+00:00,0.48,0
2018-01-02 21:30:38.756432+00:00,0.54,1
2018-01-02 21:31:38.817151+00:00,0.51,1
2018-01-02 21:32:38.876415+00:00,0.48,1
2018-01-02 21:33:38.946139+00:00,0.54,1
2018-01-02 21:34:39.001166+00:00,0.51,1
2018-01-02 21:36:39.120007+00:00,0.48,2
2018-01-02 21:38:39.244937+00:00,0.54,2
2018-01-02 21:39:39.300970+00:00,0.48,2
2018-01-02 21:43:39.544837+00:00,0.54,2
2018-01-02 21:44:39.824036+00:00,0.51,2
2018-01-02 21:45:39.791765+00:00,0.48,2
2018-01-02 21:46:39.725358+00:00,0.45,2
2018-01-02 21:47:39.783873+00:00,0.42,2
2018-01-02 21:48:39.846119+00:00,0.39,2
2018-01-02 21:49:39.907823+00:00,0.42,2
2018-01-02 21:50:39.969741+00:00,0.36,2
2018-01-02 21:51:40.026139+00:00,0.42,2
2018-01-02 21:52:40.091412+00:00,0.39,2
2018-01-02 21:53:40.150107+00:00,0.42,2
2018-01-02 21:55:40.271247+00:00,0.36,2
2018-01-02 21:57:40.395159+00:00,0.3,2
2018-01-02 22:01:40.634955+00:00,0.36,2
2018-01-02 22:02:40.694775+00:00,0.42,2
2018-01-02 22:03:40.754015+00:00,0.3,2
2018-01-02 22:06:40.935381+00:00,0.24,2
2018-01-02 22:07:40.995307+00:00,0.3,2
2018-01-02 22:09:41.120695+00:00,0.24,2
2018-01-02 22:10:41.173519+00:00,0.3,2
2018-01-02 22:11:41.568213+00:00,0.24,2
2018-01-02 22:12:41.616844+00:00,0.3,2
2018-01-02 22:13:41.676192+00:00,0.24,2
2018-01-02 22:14:41.736760+00:00,0.3,2
2018-01-02 22:16:41.854414+00:00,0.24,2
2018-01-02 22:17:41.920328+00:00,0.72,2
2018-01-02 22:18:41.990279+00:00,2.91,2
2018-01-02 22:20:42.102551+00:00,0.36,2
2018-01-02 22:21:42.161766+00:00,0.18,2
2018-01-02 22:24:42.340173+00:00,0.24,2
2018-01-02 22:25:42.402356+00:00,0.18,2
2018-01-02 22:30:42.706203+00:00,0.24,2
2018-01-02 22:31:42.777299+00:00,0.18,2
2018-01-02 22:38:43.187195+00:00,0.24,1
2018-01-02 22:40:43.307386+00:00,0.18,1
2018-01-02 22:41:43.368651+00:00,0.24,1
2018-01-02 22:42:43.424005+00:00,0.18,1
2018-01-02 22:44:43.547908+00:00,0.24,1
2018-01-02 22:46:43.671804+00:00,0.18,2
2018-01-02 23:07:44.945817+00:00,0.12,2
2018-01-02 23:08:45.062112+00:00,0.18,2
2018-01-02 23:14:45.364263+00:00,0.12,2
2018-01-02 23:15:45.431246+00:00,0.18,2
2018-01-02 23:22:45.852420+00:00,0.12,2
2018-01-02 23:23:45.915091+00:00,0.18,2
2018-01-02 23:24:46.565296+00:00,0.3,2
2018-01-02 23:29:46.280493+00:00,0.24,2
2018-01-02 23:30:46.336744+00:00,0.3,2
2018-01-02 23:32:46.455042+00:00,0.24,2
2018-01-02 23:33:46.519977+00:00,0.3,2
2018-01-02 23:34:46.579558+00:00,0.24,2
2018-01-02 23:35:46.643993+00:00,0.3,2
2018-01-02 23:37:46.767397+00:00,0.24,2
2018-01-02 23:38:46.823420+00:00,0.3,2
2018-01-02 23:40:46.967741+00:00,0.24,2
2018-01-02 23:42:47.065654+00:00,0.3,2
2018-01-02 23:43:47.145746+00:00,0.24,2
2018-01-02 23:44:47.186654+00:00,0.3,2
2018-01-02 23:45:47.560651+00:00,0.24,2
2018-01-02 23:46:47.305540+00:00,0.3,2
2018-01-02 23:47:47.369825+00:00,0.27,2
2018-01-02 23:49:47.488443+00:00,0.3,2
2018-01-02 23:50:47.546078+00:00,0.24,2
2018-01-02 23:51:47.607906+00:00,0.3,2
2018-01-02 23:52:47.669917+00:00,0.24,2
2018-01-02 23:53:47.729865+00:00,0.3,2
2018-01-02 23:54:47.790897+00:00,0.27,2
2018-01-02 23:56:47.911129+00:00,0.3,2
2018-01-02 23:57:47.971948+00:00,0.24,2
2018-01-02 23:58:48.030453+00:00,0.3,2
2018-01-02 23:59:48.105153+00:00,0.36,2
2018-01-03 00:02:48.275232+00:00,0.3,2
2018-01-03 00:03:48.333520+00:00,0.36,2
2018-01-03 00:06:48.513639+00:00,0.24,2
2018-01-03 00:07:48.574770+00:00,0.3,2
